label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
hqc,369535800,369568021,369603042,369614394,369624173,369636336,369620872,369628924,369648365,369666236,369683278,369686235,0.115196574,7819.259259259259,5290.666666666667,803.2592592592592,132.0,108.0,4224.0,60.0
bike,64090631,49076498,47317744,46947286,46720440,46718146,46275947,46208104,46218123,46214666,46203301,46130612,0.013878804,7888.0,5376.0,832.0,140.0,108.0,4224.0,64.0
classic,1672234819,1672264879,1672291733,1672314536,1672337633,1672358382,1672415411,1672434895,1672494723,1672530489,1672545429,1672554575,0.505373387,8982.634146341463,6187.707317073171,1332.0,678.6341463414634,188.0,4224.0,56.0
ntruprime,60648328,60676691,60691006,60695101,60704393,60737828,60752359,60770157,18228825,18177378,18161838,18124556,0.005836157,7832.0,5248.0,812.0,132.0,108.0,4224.0,60.0
hqc,498065855,498098561,498123166,498174687,498190611,498201104,498211537,498227495,498238361,498253784,498268640,498280457,0.152631429,7863.0,5267.2,808.0,163.0,108.0,4224.0,60.0
ntruprime,78382867,82550442,82822827,83213131,83198020,46860796,49903200,59808849,56797705,59866076,59838644,60100072,0.020062596,7272.0,4224.0,252.0,132.0,108.0,4224.0,60.0
kyber,66705244,64930735,61695023,61677104,61667601,61643580,61623912,61605518,61598623,58533707,55067073,55043534,0.018371827,702656.0,1408.0,40848.0,132.0,568.0,8.0,80.0
kyber,88237752,87889472,87905500,83124046,83113410,78107617,77634730,77623293,35689131,35652587,35641042,35628831,0.011020075,702656.0,1408.0,40848.0,132.0,568.0,8.0,84.0
frodokem,84828159,84866499,80865319,80848198,80841542,80763967,80582647,73896111,73763741,50118287,50092308,50067620,0.016418781,8982.0,3084.0,586.0,132.0,554.0,3044.0,52.0
frodokem,174809838,174822069,174818388,174830703,174813954,174831189,174845772,174861112,174837433,174848423,174901254,167079309,0.050160943,8035.0,5392.0,892.0,147.0,220.0,4224.0,52.0
classic,1358835070,1358850351,1358875538,1358897962,1358909667,1358924697,1358398114,1358945028,1358953895,1358984821,1359023669,1359029520,0.418682728,9918.018018018018,6805.90990990991,1842.8108108108108,1099.2072072072071,192.0,4224.0,60.0
sike,225080474,225091167,225110653,225147380,225168990,225183632,225196404,225208448,225219492,225235199,225251008,225262876,0.072824669,703036.9411764706,1874.8235294117646,41096.94117647059,132.0,660.0,8.0,76.0
bike,74248039,74271558,74285701,68103868,68122497,67920003,67906997,48837367,48787783,48759003,48740986,39615684,0.01202633,8693.333333333334,3677.3333333333335,656.0,248.0,369.3333333333333,3437.3333333333335,53.333333333333336
classic,1986618288,1986651495,1986682450,1986779677,1986862801,1986896063,1947961582,1947899775,1947909323,1947926837,1947930638,1947926378,0.606155686,10389.978021978022,7341.010989010989,2146.5494505494507,1263.4285714285713,196.0,4224.0,60.0
classic,691782753,691718689,691665582,691691309,691688726,691701519,691709114,691714074,691658888,691622586,691632633,654283983,0.202922052,8988.0,6237.866666666667,1332.0,684.0,188.0,4224.0,68.0
sike,800324677,800335762,800344678,800355785,800349817,800366929,800360791,750902495,750866912,750859913,750843343,745163265,0.226870597,677382.3703703703,1868.7407407407406,39600.59259259259,132.0,668.5925925925926,76.74074074074075,82.37037037037037
bike,80166482,80191655,80211042,80225794,80232335,80253455,80265767,80278121,80292095,80306874,80312755,80322530,0.025259356,7296.0,4224.0,264.0,132.0,108.0,4224.0,56.0
classic,1440509549,1440553579,1440574861,1440600109,1440632227,1440658184,1440682161,1440697652,1440710988,1440718165,1440721694,1440732319,0.45019025,10345.241379310344,7353.379310344828,2128.689655172414,1236.551724137931,196.0,4224.0,64.0
kyber,117276934,108105065,108070527,99911903,99785718,97240268,74536739,71538421,50517803,47784818,47764847,47742792,0.015410223,702784.0,1536.0,40976.0,132.0,568.0,8.0,76.0
hqc,312819898,312813447,312833341,312837090,312831950,288020717,287976140,287963641,287955497,287943009,287931097,287923877,0.091971917,7815.652173913043,5236.869565217391,799.6521739130435,132.0,108.0,4224.0,60.0
frodokem,197226884,197230177,165083704,163290888,157111865,157088754,156972658,141449467,141409694,129615994,123539529,123498007,0.039231395,8049.333333333333,5461.333333333333,892.0,161.33333333333334,220.0,4224.0,60.0
ntruprime,34182721,33916056,33927987,33789315,25251637,25191960,23217760,21616618,21601237,21605857,21592194,17623944,0.005557442,7272.0,2688.0,252.0,132.0,108.0,4224.0,60.0
bike,116159702,116112958,116108504,116124189,115132382,114468176,108444934,108153780,107900965,92148045,58461767,45891801,0.014325063,8236.0,5760.0,832.0,488.0,108.0,4224.0,64.0
sike,235799329,235541540,235534079,231334753,231330794,231304399,213843308,213821486,213815588,213805193,213793917,203684555,0.062057888,703271.4285714285,1865.142857142857,41331.42857142857,132.0,660.0,8.0,80.0
frodokem,185215696,185209671,185209189,185200758,185213342,184475405,184109217,184108206,183597547,148232181,148199943,136261487,0.043118989,7970.8,5043.2,824.0,145.2,220.0,4224.0,63.2
kyber,36286934,36310491,36323612,36333122,36346864,36364529,36380558,36394788,36407133,36415861,36424997,36434371,0.011086769,702720.0,1472.0,40912.0,132.0,568.0,8.0,84.0
ecdh,71304778,71327676,71344986,71362685,71376732,71388850,71409551,71442453,71459316,71480093,71496849,71500346,0.023473203,7580.0,5248.0,684.0,132.0,4.0,4224.0,60.0
frodokem,98735980,59511205,59481678,59478985,58347876,58341056,58322366,58351254,58344706,58341565,57836631,57829533,0.017914378,8800.0,3045.714285714286,585.7142857142857,132.0,505.7142857142857,3212.5714285714284,51.42857142857143
rsa,467915713,467905997,467909597,467915852,467914738,467922141,467926978,434027591,433982607,421868059,421859494,421847741,0.135859258,2944.0,1536.0,236.0,132.0,120.0,1796.0,44.0
classic,770568615,753620650,751807941,748771700,742699557,743171973,735969977,734447335,734452827,734445824,734418070,734373468,0.228579833,8975.609756097561,6212.682926829269,1325.1707317073171,678.439024390244,188.0,4224.0,59.90243902439025
ecdh,48479236,48495606,48529925,48561533,48580897,48594122,48605970,48622046,48633926,48656576,48669463,48682321,0.015730067,7438.0,4800.0,542.0,132.0,4.0,4224.0,56.0
rsa,1411770800,1411751918,1411770681,1411760646,1411755504,1411730658,1409275943,1408299234,1408295589,1377489177,1377471466,1377462450,0.426802583,2944.0,1536.0,236.0,132.0,120.0,1796.0,48.0
classic,1071253731,1071260050,1071267906,1071274718,1071290168,1071297424,1070940381,1070940938,1070950583,1055980591,1055953437,1055930876,0.330017641,9780.038834951456,6766.601941747573,1840.0,960.0388349514564,196.0,4224.0,60.0
kyber,63996913,64037835,64058343,64101518,64119584,64133089,64154581,64141033,64148547,64163453,64172329,64175584,0.020086159,702656.0,1408.0,40848.0,132.0,568.0,8.0,84.0
classic,3051053524,3051093379,3051110929,3051150219,3051177704,3036860955,3036762462,3035906608,3035887460,3035801409,3035800218,2999193846,0.941192973,9873.142857142857,6737.269841269841,1835.111111111111,1062.031746031746,192.0,4224.0,60.0
sike,561483415,561504806,561522685,561524762,561566203,561436639,534108433,533997652,534147596,519182558,519341574,519471218,0.159646496,690450.5454545454,1887.8545454545454,40370.03636363636,132.0,664.2181818181818,41.74545454545454,79.34545454545454
classic,2280064607,2279043477,2278713688,2278702384,2278140809,2278140796,2272362782,2272346856,2272344066,2270569045,2270556110,2270534480,0.709466139,9785.052631578947,6596.0,1799.578947368421,938.2105263157895,214.31578947368422,4161.894736842105,63.473684210526315
ecdh,95250193,95273837,95236178,95243434,95234294,95220697,95232918,94993944,94380555,83375738,33360135,33274344,0.010231105,7740.0,5440.0,844.0,132.0,4.0,4224.0,58.0
bike,110885109,73442545,71554552,70800773,70783397,70795647,62275398,60731276,56984317,40953355,40903996,40870098,0.012688114,7991.0,4896.0,659.0,399.0,108.0,4224.0,58.0
sike,296899796,296965823,297046627,297120177,297208387,297318982,297473469,297659135,297829092,297993534,298140456,298274989,0.095078057,616641.0,1667.0,36235.0,132.0,689.0,240.0,75.0
ntruprime,28608448,28578922,28468914,26505665,26226241,26207086,26209231,18430778,18390860,18357407,18330229,18299597,0.005534711,7272.0,3200.0,252.0,132.0,108.0,4224.0,52.0
classic,1103086517,1092361824,1092328186,1090485332,1088216388,1087648371,1087660793,1086036669,1061290501,1049395241,1049359197,1049328793,0.322286795,8974.923076923076,6222.7692307692305,1332.0,670.9230769230769,188.0,4224.0,60.0
classic,2543080515,2523828037,2521072961,2521067239,2521065355,2521041455,2514752027,2514729609,2509338981,2509327487,2504113647,2504094831,0.775317768,9781.9,6728.066666666667,1801.6,936.4,213.4,4165.0,59.7
kyber,100379860,100389776,70188449,70124069,70125279,70127801,70138203,53416088,53404015,49629490,50914143,50915444,0.015600332,702656.0,1408.0,40848.0,132.0,568.0,8.0,76.0
ecdh,84371012,84374957,84377202,83574873,51743147,28509012,20503217,16685898,16653272,16636195,16636233,16610004,0.00545106,7144.0,4224.0,248.0,132.0,4.0,4224.0,64.0
ntruprime,53224599,53213784,53218832,51145107,51077702,51057833,51037456,41951853,41723527,41714340,17547730,17501552,0.005635636,7272.0,4352.0,252.0,132.0,108.0,4224.0,60.0
rsa,14702635004,14702642955,14702653811,14696632701,14694393265,14693277207,14693271228,14693244647,14656472369,14656457171,14656446069,14656425569,4.478584559,2985.3411764705884,1527.8588235294117,236.4,132.0,124.54117647058824,1796.4,47.95294117647059
ecdh,106667462,106658454,104495322,92885273,92867085,56947679,52338208,52305810,52290250,52272413,45404903,33435837,0.011055952,7541.333333333333,5077.333333333333,645.3333333333334,132.0,4.0,4224.0,56.0
frodokem,186068663,186108144,186159443,186185001,186202717,186216270,186234455,186249162,186271138,186287628,186300724,186293741,0.061032103,7997.2307692307695,5316.923076923077,848.9230769230769,152.30769230769232,220.0,4224.0,63.69230769230769
ecdh,69899462,59973249,55694381,55666510,35381283,35328529,33558885,33548704,33522987,33502020,33487311,32625567,0.010222029,7740.0,5504.0,844.0,132.0,4.0,4224.0,56.0
bike,62339053,62380830,62399259,62421133,62436332,62450317,62470016,62496049,62508103,62520822,62543496,62557014,0.020891498,7856.0,5120.0,824.0,132.0,108.0,4224.0,56.0
rsa,3655813955,3653118259,3653138292,3652176781,3652222021,3651897340,3651914706,3651931280,3651936429,3651937703,3649495104,3649491040,1.162871073,2944.0,1536.0,236.0,132.0,120.0,1796.0,44.0
ntruprime,62489782,53363889,53359456,53348976,53325464,41013364,40982759,40971652,40961267,40933895,20422119,19053040,0.006179565,7832.0,5120.0,812.0,132.0,108.0,4224.0,60.0
classic,1152821303,1152884660,1152955427,1152657510,1146811462,1146810070,1141929983,1141927109,1141909617,1141921623,1141918163,1142057516,0.345235211,9751.627906976744,6795.906976744186,1826.9767441860465,944.6511627906976,196.0,4224.0,63.906976744186046
sike,238057555,238075068,238094899,235040347,234535953,234437208,226748040,226670822,225781949,225774416,220005934,214642844,0.066497802,703180.0,1760.0,41240.0,132.0,660.0,8.0,76.0
rsa,1921383715,1921355144,1921341624,1921333832,1921339323,1921336819,1921325471,1921035877,1915109211,1902353290,1902332597,1902325019,0.59132779,2944.0,1536.0,236.0,132.0,120.0,1796.0,44.0
bike,50130917,50151144,50156461,50185090,50205807,50217769,50232814,50241335,50316266,50346388,50391090,50394737,0.01487174,8060.0,5568.0,832.0,312.0,108.0,4224.0,60.0
bike,69009575,69018900,64838308,40627659,40599819,40584116,40569464,40559945,40557687,40552782,40543789,40538106,0.012433852,8001.0,5312.0,692.0,393.0,108.0,4224.0,56.0
classic,737904036,735177274,708537729,696232710,696209602,696200416,694365972,692837203,692846414,692884430,689663648,689650935,0.215042869,8969.578947368422,6228.210526315789,1324.6315789473683,672.9473684210526,188.0,4224.0,56.0
kyber,109259517,109290553,112397869,65813944,65764584,54320765,54047219,52957303,51950687,51941937,51382594,51362644,0.01655545,702912.0,1792.0,41104.0,132.0,568.0,8.0,80.0
sike,206647853,206638180,203963310,203934575,203669496,199735462,177357097,177304984,177283811,177275411,177270890,177156096,0.053639841,703212.0,1760.0,41272.0,132.0,660.0,8.0,80.0
rsa,623378828,618684287,618661066,618650358,618629760,616293343,614280002,614082338,589299941,589267840,577747883,571674490,0.189497859,2944.0,1536.0,236.0,132.0,120.0,1796.0,48.0
rsa,2819979309,2816619201,2816631328,2813963898,2813975565,2813965569,2794254362,2782743263,2782712398,2782376562,2770541467,2768888082,0.905843752,2944.0,1536.0,236.0,132.0,120.0,1796.0,48.0
hqc,372360160,372354201,372400720,372419904,372441240,372450167,372437472,372452280,372455670,372480083,372467325,372468338,0.120003352,7840.0,5337.6,824.0,132.0,108.0,4224.0,60.0
